feature,cohens_d,symmetric_auc,directional_auc,mann_whitney_p,abs_cohens_d
C3_higuchi_fd,-0.7224263562486577,0.7170095696929011,0.2829904303070989,1.086264636678295e-25,0.7224263562486577
C3_wavelet_d1_relative,-0.6953745439903637,0.7409206386815674,0.2590793613184325,2.803600397442555e-31,0.6953745439903637
CZ_lziv,-0.6920051222369379,0.6847299556398004,0.31527004436019956,4.673869268248035e-19,0.6920051222369379
C4_wavelet_d2_relative,-0.6627162088687386,0.7117179375798023,0.2882820624201977,1.5668992320107224e-24,0.6627162088687386
C4_wavelet_entropy,-0.6618459614227632,0.6844304913846437,0.31556950861535626,5.327268884648022e-19,0.6618459614227632
C3_mfcc5_mean,0.652164050844955,0.6781187063144177,0.6781187063144177,7.93934203612391e-18,0.652164050844955
C3_wavelet_entropy,-0.6454651084801711,0.6816727875844094,0.3183272124155906,1.7539953159447816e-18,0.6454651084801711
CZ_wavelet_approx_relative,0.6341853598853605,0.7034579894430624,0.7034579894430624,8.875405792551261e-23,0.6341853598853605
CZ_arburg2,0.6289200080886841,0.6821795732469824,0.6821795732469824,1.4108903349831299e-18,0.6289200080886841
CZ_spectral_entropy,-0.6284585393148128,0.6691808500835867,0.33081914991641326,3.1123219886418745e-16,0.6284585393148128
CZ_beta_relative,-0.6242374668661913,0.6840619199936816,0.3159380800063184,6.253353840452764e-19,0.6242374668661913
CZ_arburg4,0.6199762462890669,0.6803038081322645,0.6803038081322645,3.1485589747704706e-18,0.6199762462890669
C4_wavelet_d1_relative,-0.6125226142654542,0.7105003356632311,0.28949966433676894,2.8692865698146687e-24,0.6125226142654542
C3_wavelet_d3_relative,-0.6055634484896346,0.6874580420961182,0.31254195790388184,1.4111606359656203e-19,0.6055634484896346
C4_wavelet_d3_relative,-0.5989249944910717,0.6769405941897353,0.32305940581026477,1.3012718226302273e-17,0.5989249944910717
CZ_delta_power,0.592056174781763,0.6627176874777869,0.6627176874777869,3.940297118323536e-15,0.592056174781763
C4_mfcc2_mean,-0.5920294444888076,0.6653503402703734,0.33464965972962657,1.4174266183870913e-15,0.5920294444888076
C3_dfa,0.5891665291841005,0.6856020218773446,0.6856020218773446,3.194086050282104e-19,0.5891665291841005
C3-C4_correlation,0.5779654760404399,0.6673379931287761,0.6673379931287761,6.481517018181553e-16,0.5779654760404399
C3_std,0.572410503881153,0.6506074846318893,0.6506074846318893,3.540435697176206e-13,0.572410503881153
CZ_arburg3,-0.5638855773694591,0.6630072792849715,0.3369927207150285,3.523906259793661e-15,0.5638855773694591
C3_mfcc2_mean,-0.5559694524703178,0.6531611578406982,0.34683884215930183,1.410177452600681e-13,0.5559694524703178
C3_hjorth_mobility,-0.5433559301205406,0.662322789558899,0.337677210441101,4.587085304404615e-15,0.5433559301205406
C3_hjorth_activity,0.5332480024961418,0.6508246784872777,0.6508246784872777,3.2757228131360364e-13,0.5332480024961418
C4_wavelet_approx_relative,0.5305261936894319,0.6637707485948217,0.6637707485948217,2.6226931049310136e-15,0.5305261936894319
C3-CZ_covariance,0.5300101243645045,0.6674235543445353,0.6674235543445353,6.265560783847132e-16,0.5300101243645045
C3_sample_entropy,-0.5298840912456385,0.6465992707551764,0.3534007292448236,1.4570130114948382e-12,0.5298840912456385
C3_hjorth_complexity,0.5198574761954184,0.635805394305572,0.635805394305572,5.47802239404737e-11,0.5198574761954184
C4_hjorth_mobility,-0.5191458165967472,0.6535494741276047,0.34645052587239533,1.2243717086198137e-13,0.5191458165967472
C4_dfa,0.5154974084808033,0.6571956982453369,0.6571956982453369,3.1946401207806426e-14,0.5154974084808033
CZ-C4_covariance,0.5108198347764062,0.6550895760112678,0.6550895760112678,6.967426122247607e-14,0.5108198347764062
C3_spectral_edge_95,-0.5092492747837665,0.6499657755136964,0.3500342244863036,4.45027142507288e-13,0.5092492747837665
CZ_crest_factor,0.5062671505091274,0.6461977912043071,0.6461977912043071,1.6754229973954826e-12,0.5062671505091274
C4_mfcc5_mean,0.5056131939512539,0.6404849346443944,0.6404849346443944,1.1747400861420815e-11,0.5056131939512539
C4_hjorth_complexity,0.5041926225814424,0.6394845265832116,0.6394845265832116,1.6395379233040202e-11,0.5041926225814424
C3_ptp,0.49758997107172837,0.6376021798365124,0.6376021798365124,3.051002392272057e-11,0.49758997107172837
C3_wavelet_approx_relative,0.492485941208484,0.6607366162513657,0.6607366162513657,8.415912051809516e-15,0.492485941208484
C3_arburg_innovation_variance,-0.4826057167826437,0.6549645250036199,0.3450354749963801,7.295259567445319e-14,0.4826057167826437
C4_std,0.47861194132419665,0.6199370795982572,0.6199370795982572,6.99217152625399e-09,0.47861194132419665
CZ-C4_alpha_coherence,0.4740315587517397,0.6294607010754387,0.6294607010754387,4.0791313384583897e-10,0.4740315587517397
C4_ptp,0.47398758141837805,0.6319222314365069,0.6319222314365069,1.892421359065949e-10,0.47398758141837805
C4_higuchi_fd,-0.46173911008821916,0.6459805973489187,0.35401940265108134,1.8066511175681603e-12,0.46173911008821916
C4_sample_entropy,-0.4483679416329652,0.6240176914267662,0.3759823085732338,2.1224313248525874e-09,0.4483679416329652
C4_hjorth_activity,0.44621588852488075,0.6176400900367254,0.6176400900367254,1.345371164368737e-08,0.44621588852488075
C3_arburg1,-0.43928721226482204,0.6465268728033804,0.35347312719661966,1.4942186490802888e-12,0.43928721226482204
C3_alpha_power,0.43925772101218186,0.6369835064302544,0.6369835064302544,3.73529040717962e-11,0.43925772101218186
CZ_theta_power,0.431169850564505,0.620529426476589,0.620529426476589,5.894822196290558e-09,0.431169850564505
C3-C4_covariance,0.4291949471116322,0.6478826889915623,0.6478826889915623,9.299759206176293e-13,0.4291949471116322
CZ-C4_alpha_plv,0.4273434300074053,0.6212007529386986,0.6212007529386986,4.853166476962764e-09,0.4273434300074053
C3-CZ_correlation,0.4266198437654001,0.6250904974397451,0.6250904974397451,1.541619920691062e-09,0.4266198437654001
C4_spectral_edge_95,-0.4265026704142505,0.6267622319630376,0.3732377680369624,9.317069696655806e-10,0.4265026704142505
C3_low_gamma_relative,-0.42443363152354996,0.6423870262870381,0.35761297371296186,6.193392312863583e-12,0.42443363152354996
C4_mfcc4_mean,-0.42037623892182957,0.6132106517131988,0.38678934828680117,4.594724731113627e-08,0.42037623892182957
C4_arburg_innovation_variance,-0.41667502108646626,0.636582026879385,0.36341797312061497,4.2574631158950974e-11,0.41667502108646626
C4_lziv,-0.41314657778984426,0.6127631007384591,0.38723689926154087,5.188359306843231e-08,0.41314657778984426
C3_mfcc1_mean,-0.4109365720970595,0.6110255498953521,0.38897445010464793,8.284908738385324e-08,0.4109365720970595
C3_spectral_entropy,-0.4065820506007382,0.6113414682304623,0.38865853176953763,7.613107715776745e-08,0.4065820506007382
C4_wavelet_d4_relative,-0.39468707813203335,0.633376772104411,0.366623227895589,1.1942601557432e-10,0.39468707813203335
C3_mfcc4_mean,-0.38738248620048427,0.6106306519764642,0.3893693480235359,9.205702689318962e-08,0.38738248620048427
C3_aperiodic_slope,-0.3743179443977822,0.609077386828838,0.39092261317116195,1.3886590139308041e-07,0.3743179443977822
