dataset,subject,epoch,rating,laser_power,tsne_1,tsne_2,state,knn_predicted_state
ds005289,sub-015,0,8.03,3.25,-32.60904,-16.295649,1,1
ds005289,sub-015,1,7.03,3.25,31.354992,-23.660414,3,3
ds005289,sub-015,2,5.04,3.25,-3.1963332,-12.793978,3,3
ds005289,sub-015,3,9.04,3.25,22.319035,-33.35785,3,3
ds005289,sub-015,4,8.01,3.25,-39.25666,-32.366463,1,1
ds005289,sub-015,5,7.86,3.25,-28.823856,-34.370914,1,1
ds005289,sub-015,6,7.07,3.25,-40.343414,-13.364521,1,1
ds005289,sub-015,7,6.72,3.25,-58.3668,10.868577,0,0
ds005289,sub-015,8,4.0,3.25,7.461828,-2.041664,3,3
ds005289,sub-015,9,7.06,3.25,-16.457727,-5.709188,1,1
ds005289,sub-016,0,6.54,3.25,-14.871619,61.37288,2,2
ds005289,sub-016,1,6.49,3.25,8.0091095,-44.067192,3,3
ds005289,sub-016,2,5.99,3.25,53.321617,4.3953867,4,4
ds005289,sub-016,3,5.56,3.25,55.548386,5.234419,4,4
ds005289,sub-016,4,5.53,3.25,29.15288,-1.9896243,3,3
ds005289,sub-016,5,4.53,3.25,60.90131,8.734795,4,4
ds005289,sub-016,6,8.55,3.25,60.947033,11.705721,4,4
ds005289,sub-016,7,3.01,3.25,20.481674,-6.5293818,3,3
ds005289,sub-016,8,7.52,3.25,65.049484,7.277132,4,4
ds005289,sub-017,0,4.72,4.0,10.086558,5.1531167,2,3
ds005289,sub-017,1,5.6,4.0,2.6851776,-45.739086,3,3
ds005289,sub-017,2,5.29,4.0,62.90459,10.6605,4,4
ds005289,sub-017,3,4.84,4.0,20.587177,-30.050274,3,3
ds005289,sub-017,4,5.73,4.0,56.941105,16.147467,4,4
ds005289,sub-017,5,5.59,4.0,60.142815,-7.029461,4,4
ds005289,sub-017,6,5.44,4.0,40.841892,7.9873843,4,4
ds005289,sub-017,7,6.12,4.0,29.967142,-9.206074,3,3
ds005289,sub-017,8,5.11,4.0,8.5460205,13.055264,2,2
ds005289,sub-017,9,5.02,4.0,35.292225,14.054231,4,4
ds005289,sub-018,0,2.03,4.5,-48.727608,-25.634495,1,1
ds005289,sub-018,1,5.98,4.5,7.567486,-1.9047177,3,3
ds005289,sub-018,2,5.02,4.5,-12.994843,-22.709677,1,1
ds005289,sub-018,3,7.06,4.5,18.343994,-27.476408,3,3
ds005289,sub-018,4,6.04,4.5,-6.4901695,-41.61889,1,1
ds005289,sub-018,5,5.02,4.5,-17.468689,15.392459,2,2
ds005289,sub-018,6,6.94,4.5,4.9662395,11.59992,2,2
ds005289,sub-018,7,4.08,4.5,-0.05365917,18.613213,2,2
ds005289,sub-018,8,7.0,4.5,39.686962,-24.827759,3,3
ds005289,sub-018,9,6.04,4.5,32.12507,-14.043037,3,3
ds005289,sub-019,0,5.97,3.0,68.08292,-20.918018,4,4
ds005289,sub-019,1,5.02,3.0,-54.188396,-48.527645,1,1
ds005289,sub-019,2,4.92,3.0,-49.049854,-52.44022,1,1
ds005289,sub-019,3,5.53,3.0,0.5599154,15.203697,2,2
ds005289,sub-019,4,6.44,3.0,-24.4314,4.924563,0,0
ds005289,sub-019,5,5.06,3.0,-12.465937,54.096466,2,2
ds005289,sub-019,6,5.56,3.0,-21.203032,-51.84384,1,1
ds005289,sub-019,7,6.67,3.0,33.711834,-38.39691,3,3
ds005289,sub-019,8,5.55,3.0,9.242174,-36.560974,3,3
ds005289,sub-019,9,7.57,3.0,48.99349,-12.682896,4,4
ds005289,sub-020,0,3.96,3.5,-57.861595,32.052383,0,0
ds005289,sub-020,1,5.49,3.5,-17.02765,62.5667,2,2
ds005289,sub-020,2,5.02,3.5,10.512243,21.183136,2,2
ds005289,sub-020,3,5.23,3.5,-15.612308,68.9245,2,2
ds005289,sub-020,4,7.37,3.5,-44.70498,47.02081,0,0
